,tweets,category,confidence
0,"['Under', 'v', 'Boys', 'U', 'Boys', 'U', '177/5', '(', '45.5', ')', 'In', 'Play', ':', 'Joe', 'Miszkowski', '54', '(', '71', ')', ',', 'Zakir', 'Shah', '3', '(', '16', ')', 'https', ':', '//t.co/hSY98SdkwH', '#', 'playcricketscorerpro']",neg,100.0
1,"['Cricket', 'is', 'horrible']",neg,100.0
2,"['@', 'GiftBrio', '@', '11', 'A15', ']', '-', 'Option', '(', 'C', ')', 'MS', 'Dhoni', '#', 'cake', '#', 'flower', '#', 'onlinecake', '#', 'onlineflower', '#', 'offer', '#', 'IPL', '#', 'cricket', '#', 'iplt20', '?', 'https', ':', '//t.co/TfPrlqpCvf']",pos,100.0
3,"['Just', 'a', 'perfect', 'day', 'for', 'picnic', ',', 'beers', 'and', 'Middlesex', 'v', 'Kent', 'in', '#', 'RL50', 'county', 'cricket', '?', 'https', ':', '//t.co/oST68Z9PTf']",pos,100.0
4,"['Hey', 'Cricket', 'fans', 'be', 'ready', 'for', 'today', '?', 's', 'game', '.', 'As', 'it', 'is', 'very', 'crucial', 'game', 'for', '@', 'mipaltan', '#', 'ThumsUpCharged', '#', 'ThumsUpForMI']",neg,80.0
5,"['``', 'IPL', '2018', ',', 'Delhi', 'Daredevils', 'vs', 'Mumbai', 'Indians', 'Live', 'Cricket', 'Score', ':', 'Pant', 'Fifty', 'Helps', 'Delhi', 'Post', 'Competitive', 'Total', '-', '?', 'https', ':', '//t.co/Z2QJZeFPzj']",neg,100.0
6,"['RT', '@', 'yahyaehsan', ':', 'I', 'am', 'so', 'happy', 'to', 'animate', 'this', 'promo', ',', 'enjoy', 'through', 'full', 'Motion', '#', 'comics', '.', '#', 'photoshop', '#', 'animation', '#', 'Cricket', 'https', ':', '//t.co/U4Z9vbw', '?']",pos,100.0
7,"['?', '?', '?', 'SEKAI', 'NO', 'OWARI', 'INSOMNIATRAIN', '?', '?', '?', '5/26', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'cricket', '13', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'DM', '?', '?', '?', 'm', '(', '_', '_', ')', 'm', '?', 'https', ':', '//t.co/iG1xwnlzPM']",pos,80.0
8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'https', ':', '//t.co/JPu0uV96E2']",pos,80.0
9,"['Wahab', 'Riaz', 'has', 'received', 'his', 'NOC', 'from', 'the', 'PCB', 'to', 'play', 'for', 'Derbyshire', 'in', 'this', 'season', ""'s"", 'T20', 'Blast', 'tournament', '#', 'Cricket']",pos,80.0
10,"['RT', '@', 'khushikadri', ':', 'Shankar', 'Is', 'The', 'God', 'Of', 'Cricket', '?', '#', 'MIvDD', '#', 'MIvsDD', '#', 'MumbaiIndians', '#', 'DilDilli']",neg,80.0
11,"['@', 'GabbbarSingh', 'IPL', 'has', 'become', 'another', 'place', 'for', 'family', 'gettogether', '.', '70', '%', 'people', 'in', 'the', 'stadium', 'doesnt', 'know', 'abc', 'of', 'cri', '?', 'https', ':', '//t.co/YFb72j1Nnn']",neg,100.0
12,"['IPL', '2018', ':', 'Virat', 'Kohli', 'breaks', 'silence', 'on', 'fitness', 'concerns', ',', 'promises', 'answers', 'during', 'CSK', 'v/s', 'KXIP', 'match', '-', 'Daily', 'News', '&', 'amp', ';', '?', 'https', ':', '//t.co/BkvbRRQnlz']",pos,100.0
